sentiment,review
0, Think Dallas - the dream: I think this author got tired of writing the story and decided to end it in a quick bizarre way. I was warned about the bizarre ending but I read the book through to the last page and was astounded by how she ended the story. It's the first book I've read by this author and it will be the last. I don't always ask for a happy ending but this ending left me feeling I wasted my time reading the book. It was very unsatisfactory.
1, Great Condition: I ordered this book as gift for my mom and was a bit skepticalbecause I saw that it was only $ 0.01. I thought when it arrived it wouldlook used. I am glad to say it looks brand new. I am very satisfied.
1, smells great: purchased this for my father for christmas and he loves the scent. its not easy to find scented powder and he was very happy with this one.
0," Horrible horrible horrible CAT REACTION!!!: Tried cat attract and awoke this morning to find cat litter and feces all over 3 rooms. The cats must have thought it was cat nip because they threw this stuff everywhere!!! I am not exaggerating. This was a nightmare and when I called the company, the only redress they would provide is refund if I provide the receipt. I expect to be reimbursed for having to sterilize my floors.Please do not buy this product unless you have your cat(s) confined to a small enclosed space.Just a nightmare."
0," DOG TRAINING FOR SADISTS: We bought this book at the recommendation of the manager of a local pet shop -- it was the only book they carried.The training methods found in this book are abominable and were undoubtedly stolen from Hitler's private files. For example, the author suggests that if your dog nibbles plants, stuff his/her mouth full of greenery and tie it shut, then chain the dog so he/she can't move.And it gets worse. So if you love your dog, avoid this book at all costs!"
1," Praise for Lewis!: C.S. Lewis's On Stories is one of the most insightful little books I've ever read on literature. His ""Fairy Stories"" is worth the price of the book. If you want to understand literature as well as good authors' use of it, buy this book and listen to everything Lewis says."
1," Difficult to read.. but well written.: This by far has to be one of the most difficult books ive attempted to read, and i to no extent mean the words more so the topics touched in this story. the only thing pushing me to finish it is hope that some sort of justice is served in the plot. The fact that a 40 year old deprives a 12 year old girl of her innocence will at most times in the book leave you in disgust and feeling disturbed. But credit be given where its due, the author is a genius and some would say a madman himself to be able to tell this story of a mad man. I do admire that with the touchy subjects that he wrote on he never used any sort of vulgar vocabulary to describe certain scenes. in my opinion its a mentally strenuous book to jump into because of the monster who is telling his story but the author hit it dead on, minus some parts which i think get very repetitive. take what you can from this story, which is hard to with a closed mind, and then move on."
1," More basic than earlier seasons, but in some ways more realistic.: Our family is a fan of all the seasons. This one is slightly less complex in interpersonal complexity, but the plot execution is generally more relistic. I always have a hard time with those episodes with faking people out with masks - hokey. There are a few here but not many. A large amount of organized crime plots, versus earlier international often third world villians.... we kind of miss those."
0," a disappointed fan: I guess my problem is I keep waiting for another effort on par with LAZER GUIDED MELODIES, which is one of my all-time favorites. Unfortunately for me, each release of J.Spaceman's gets farther and farther away from my desire. For all the pomp and hype, like the album's warning ""Prepare to be blown away,"" you'd think LET IT COME DOWN would be a bit more trancendant. I find it boring, and almost tedious at times. Many of the tracks have an almost childish rhythm to them which quickly grows painful.I think it's sad that the best track on the disc is the SPACEMEN 3 cover of ""Lord Can You Hear Me?""I could probably like this disc more if I forced myself to, but I shouldn't have to. It should just be better."
0," Sophisticatedly stupid: Ok, first of all, this book is illogical, to be more specific, totally illogical, and historically, the worst book I've ever read. However, the beginning of the story is quite fine, but not till the middle and the end. The ending is too predictable, too uncouth and in every respect, disgusting. I hence, proclaim once again that this book, though enhanced by wondrous, beautiful prose, is flawed by the illogical, and abrupt storyline."
1," Excellent!: This is certainly an excellent CD both in concept and performance.The idea of collecting violin transcriptions of Chopin's pieces is wonderful (and original, too, I believe). These beautiful pieces are transcribed by the greatest musical minds and played caringly by Manoukian and Eguchi. Manoukian's tone is crisp yet sweet. The Cello sonata sounds like it was really intended for the Violin. Please also note the tasteful performance of two Nocturnes transcribed by Sarasate. The notes written by Manoukian are also very enjoyable."
0," Much too firm.: I had high expectations for this pillow. I tried it for one month, and each morning my neck felt worse."
1, what sequels are made of: Many people for get this movie actually exsits but this is my fav rocky movie of the saga if you don't like the boxing match watch it for the story alot people will say rocky 1 but i haven't seen it enough this really set the bar in sequels in my view
0, Interesting thesis but ultimately incorrect: This is ultimately an unsatisfactory book. Feiler does little scholarly research and depends mostly on personal encounters. His thesis that Abraham is claimed as the father of three great religions is incorrect. Feiler tries to account for 4000 years of history in a book of a few hundred pages. As a result much history is oversimplified.For a more detailed discussion of this book go to seniornet.org and look at the book discussion section.
0, It is not a textbook: Like all Timoshenko's books it is not a textbook. It is a collection of solved problems. This book does not provide the general vision of elasticity -one of the most beautiful physical theories.
1, Works: This was a convenient way to cart my son around the airport. It was pretty easy to detach and reattach as needed.
1," Pure Genius: When i first listened to this album I really didn't like Marty Friedman's style. I put the album aside and left it for a while. A few months later I went and got Dragon Kiss and really thought it was brilliant and Friedman's style came through there. So I got True Obsession and put it on and absolutely loved it. It provides a good mix of guitar instrumentals and lyricized stuff with some beasty, 'Marty Friendman' style solos. Fave track off the album 'Hands Of Time'. Definitely a great album for any Friedman fans and some people looking to be introduced to his stuff."
